Neighborhood;Region;Longtiude;Latitude
Cempaka Putih;Jakarta Pusat;;
Cempaka Putih;Jakarta Pusat;;
Johar Baru;Jakarta Pusat;;
Kemayoran;Jakarta Pusat;;
Menteng;Jakarta Pusat;;
Sawah Besar;Jakarta Pusat;;
Senen;Jakarta Pusat;;
Tanah Abang;Jakarta Pusat;;
Cilincing;Jakarta Utara;;
Kelapa Gading;Jakarta Utara;;
Koja;Jakarta Utara;;
Pademangan;Jakarta Utara;;
Penjaringan;Jakarta Utara;;
Tanjung Priok;Jakarta Utara;;
Cakung;Jakarta Timur;;
Cipayung;Jakarta Timur;;
Ciracas;Jakarta Timur;;
Duren Sawit;Jakarta Timur;;
Jatinegara;Jakarta Timur;;
Kramat Jati;Jakarta Timur;;
Makasar;Jakarta Timur;;
Matraman;Jakarta Timur;;
Pasar Rebo;Jakarta Timur;;
Pulo Gadung;Jakarta Timur;;
Cilandak;Jakarta Selatan;;
Jagakarsa;Jakarta Selatan;;
Kebayoran Baru;Jakarta Selatan;;
Kebayoran Lama;Jakarta Selatan;;
Mampang Prapatan;Jakarta Selatan;;
Pancoran;Jakarta Selatan;;
Pasar Minggu;Jakarta Selatan;;
Pesanggrahan;Jakarta Selatan;;
Setiabudi;Jakarta Selatan;;
Tebet;Jakarta Selatan;;
Cengkareng;Jakarta Barat;;
Grogol Petamburan;Jakarta Barat;;
Taman Sari;Jakarta Barat;;
Tambora;Jakarta Barat;;
Kebon Jeruk;Jakarta Barat;;
Kalideres;Jakarta Barat;;
Palmerah;Jakarta Barat;;
Kembangan;Jakarta Barat;;
